S No,Video url,Thumbnail,Title,Views,Published Time
1,https://www.youtube.com/watch?v=4voc-Za4VR8,https://i.ytimg.com/vi/4voc-Za4VR8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLB-aZh6qpgkozX9F4sL2MOdB6xeZg,Indians are OverPaying Taxes in USA? Why?,19K views,23 hours ago
2,https://www.youtube.com/watch?v=eumIB_CeVIo,https://i.ytimg.com/vi/eumIB_CeVIo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAJXb4qIDtU0n4ANEc0crzl_W25LA,When Tesla owner Drives Mustang Electric! (Mach E),42K views,1 day ago
3,https://www.youtube.com/watch?v=e9gRVSPopLo,https://i.ytimg.com/vi/e9gRVSPopLo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLA5HVQcESM5j9P8N0T1vmHysCWm5A,Creating my Rental Business in USA! House Hunt Pt 2,82K views,6 days ago
4,https://www.youtube.com/watch?v=9MPPFUampVk,https://i.ytimg.com/vi/9MPPFUampVk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLDKrzRs1WeDyNe5iFRCtpxpcK8HWw,I tried Fastest 5G Internet in USA! *5Gbps*,38K views,8 days ago
5,https://www.youtube.com/watch?v=s11oPQ6Bf_k,https://i.ytimg.com/vi/s11oPQ6Bf_k/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLAOvGyy4c7hfmbEtBue09lwXu5Vww,I Tried 7 Ways to become Rich with ChatGPT! The Reality!!,38K views,12 days ago
